region_code,mean,sd,min,max,cv,n
BE10,5386.7,223.16961660982835,5174,5777,0.04142974671131274,10
BE21,8302.8,268.2440016933174,7927,8709,0.032307655452777063,10
BE22,3896.9,90.61818556755347,3805,4045,0.02325391607881995,10
BE23,7031.1,266.6922696042513,6691,7355,0.037930376413968125,10
BE24,5170.5,70.20169355348756,5072,5296,0.013577351040225812,10
BE25,5338.9,98.52179679870056,5202,5500,0.018453575979827413,10
BE31,1789.4,51.31428217909275,1729,1857,0.028676809086337737,10
BE32,5267.3,107.07012240168174,5090,5463,0.02032732565103217,10
BE33,4467.6,60.72378263726476,4396,4584,0.013592036582788243,10
BE34,1261.1,33.45461270305055,1218,1301,0.026528120452819406,10
BE35,2084.1,38.73686157195036,2046,2174,0.018586853592414163,10
BG31,2842,156.44452335856596,2630,3096,0.05504733404594157,10
BG32,3239,247.2704322531642,2937,3574,0.07634159686729367,10
BG33,4040.7,273.16500914689317,3732,4418,0.06760338781569857,10
BG34,4359.6,223.50650002976548,4102,4675,0.05126766217766893,10
BG41,10227.4,250.01742161519687,9828,10563,0.02444584367632017,10
BG42,5993.3,344.6102629541572,5628,6497,0.05749925132300355,10
CZ01,6706.8,172.50558767117596,6443,6892,0.025720997744255972,10
CZ02,6725.9,129.08950383358052,6544,6879,0.019192896687964516,10
CZ03,5959.8,82.7926459428748,5739,6028,0.013891849716915802,10
CZ04,5279,113.42643234958753,5102,5412,0.021486348238224574,10
CZ05,7215.7,137.38514394860087,6950,7375,0.01903975275421662,10
CZ06,8222.1,95.58759798681463,8004,8311,0.011625691488404985,10
CZ07,5782.4,144.3600437178592,5564,5947,0.024965419846060325,10
CZ08,5755.2,186.65761882834215,5442,5973,0.03243286398880007,10
DK01,9420.8,365.54671384106297,8941,10132,0.03880208834080577,10
DK02,3709.5,99.65077911274842,3544,3866,0.026863668718897,10
DK03,5554.1,128.1686822554992,5350,5710,0.02307640882510203,10
DK04,6292.2,238.31808809049957,5952,6677,0.03787516100735825,10
DK05,2715.5,50.45184722969902,2635,2784,0.01857921091132352,10
DE11,21298.6,452.888556318709,20468,21875,0.021263771154850977,10
DE12,13943.1,356.2556666215992,13396,14480,0.025550678588090108,10
DE13,11367.5,331.9686230152884,10771,12059,0.029203309700047364,10
DE14,9671.4,370.2666306565821,9092,10168,0.038284698250158414,10
DE21,24228.7,714.9965112579998,22793,25133,0.029510312615121728,10
DE22,6327.4,263.4232757791578,5930,6821,0.041632151559749316,10
DE23,5694.2,280.71488105272306,5492,6462,0.04929838801811019,10
DE24,5481.4,220.79814814038235,5217,5866,0.040281342018532194,10
DE25,8815.5,575.0090337454611,7881,9817,0.06522704710401692,10
DE26,6656.9,289.2513132592871,6090,7140,0.043451353221362364,10
DE27,9618.6,351.8586205976612,9086,10276,0.03658106383441053,10
DE30,18456,424.82310043907296,17618,18893,0.02301815672079936,10
DE40,12188.5,239.33112812354537,11910,12525,0.019635814753541894,10
DE50,3241.4,66.51014960139543,3082,3333,0.020518957734742833,10
DE60,9539.7,178.54165402567048,9189,9749,0.018715646616316077,10
DE71,19784,370.6840523500662,19094,20283,0.018736557437831897,10
DE72,4995.6,166.3618546021493,4782,5342,0.033301676395658036,10
DE73,5809.3,149.34527482016668,5431,5994,0.025707963923392953,10
DE80,7462.8,229.8505794834742,7195,7791,0.03079950949824117,10
DE91,7631.8,121.66054779133985,7405,7802,0.015941265204976525,10
DE92,10479.6,201.5772253449724,10220,10803,0.019235202235292605,10
DE93,8122.4,183.34860542450576,7768,8317,0.022573205631895226,10
DE94,12255.1,281.55064671683255,11767,12531,0.02297416150964354,10
DEA1,24812.2,475.4410350167282,24059,25658,0.019161583213770976,10
DEA2,21532.5,396.6964274549943,20797,21978,0.018423147681643763,10
DEA3,12517.7,447.22652723945913,11936,13486,0.03572753199385343,10
DEA4,9951.1,341.967980957282,9466,10642,0.03436484217395886,10
DEA5,16954.6,189.73033494936965,16665,17384,0.011190493137518413,10
DEB1,7101.3,333.406675264775,6416,7592,0.046950090161628856,10
DEB2,2609.9,149.16020470174564,2293,2779,0.05715169343719899,10
DEB3,10205.2,383.6960023537152,9785,10924,0.037598087480276245,10
DEC0,4711.6,62.01290188339843,4602,4797,0.013161750123821722,10
DED2,7682.7,143.58044589861268,7422,7890,0.01868880027836733,10
DED4,6476.8,466.90703333509316,5666,7024,0.07208915410929674,10
DED5,5177.9,260.9024721998625,4788,5666,0.05038770007143099,10
DEE0,10224.2,460.25591914837025,9727,10903,0.045016325888418675,10
DEF0,13889,257.0196706696029,13390,14146,0.018505268246065437,10
DEG0,10140.2,339.3466925988491,9717,10651,0.03346548318562248,10
EE00,6581,193.39309421199323,6405,6971,0.02938658170673047,10
IE04,3937,265.0488424590624,3682,4396,0.06732254062968311,10
IE05,7529,516.0620117776544,7094,8497,0.06854323439735084,10
IE06,11960.8,959.5436183705019,10746,13509,0.08022403337322771,10
EL30,17015.2,298.2324969251712,16662,17596,0.017527416482037893,10
EL41,822.6,38.704579114678985,770,878,0.047051518495841216,10
EL42,1443.6,67.80232706593156,1356,1526,0.04696753052502879,10
EL43,2736.8,45.12895104278652,2652,2789,0.016489678106835177,10
EL51,2451.3,40.11386571027806,2395,2518,0.016364323302034862,10
EL52,7887.2,184.5877087517536,7473,8066,0.023403452270990163,10
EL53,1113.3,43.07886824057578,1046,1164,0.038694752753593624,10
EL54,1325.7,57.17818154195221,1183,1372,0.043130558604474775,10
EL61,2961.9,97.65295694447762,2758,3067,0.032969700848940756,10
EL62,848.4,31.426103799230347,795,891,0.03704161221031394,10
EL63,2753.4,78.26053354731944,2628,2861,0.028423234381971176,10
EL64,2302.2,41.206256267168406,2244,2379,0.017898643153144128,10
EL65,2353.3,27.56426833581637,2324,2408,0.011713027805981543,10
ES11,12202.8,139.98714226670964,11964,12424,0.011471723069025932,10
ES12,4442.1,104.23099347123197,4289,4612,0.023464350976167118,10
ES13,2701.1,41.87401740140697,2629,2775,0.015502579468145188,10
ES21,10239.5,185.6701076880414,9984,10553,0.018132731841207228,10
ES22,3116.5,100.24996536436088,3000,3296,0.03216748447436576,10
ES23,1535.8,29.50254226333724,1498,1577,0.01920988557321086,10
ES24,6397.5,92.91842300283263,6278,6547,0.014524177100872625,10
ES30,34374.5,1319.3688937434358,32996,36884,0.03838219883179205,10
ES41,10987.8,181.4606170924026,10723,11305,0.01651473607932458,10
ES42,9783.4,197.916480701667,9521,10117,0.02022982610357003,10
ES43,4871.7,53.785685828108576,4759,4940,0.011040434720551056,10
ES51,38053.9,1269.009802081047,37009,40484,0.033347693720776235,10
ES52,24298.1,920.0443769490446,23498,26042,0.037864869144050135,10
ES53,6181.3,163.34765243356134,5973,6485,0.02642610008146528,10
ES61,39270.5,735.7910708890126,38076,40323,0.018736483388014227,10
ES62,7134.6,246.46036417872776,6880,7553,0.034544384293264896,10
ES63,370.2,12.053584068188552,349,388,0.032559654425144656,10
ES64,368.7,12.129394965216617,348,386,0.032897735191799886,10
ES70,10953.8,229.01761213205126,10629,11362,0.020907594819336784,10
