"region_id","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BE10","52038.0","52493.0","53547.0","53866.0","54802.0","55843.0","57151.0","57776.0","59194.0","60271.0"
"BE21","107002.0","109469.0","112423.0","114389.0","116839.0","119684.0","121469.0","123747.0","126190.0","128073.0"
"BE22","56191.0","57563.0","58697.0","59868.0","61230.0","62725.0","63781.0","65137.0","66269.0","66994.0"
"BE23","86868.0","88418.0","90097.0","91840.0","94166.0","96127.0","97716.0","99382.0","101476.0","103118.0"
"BE24","65957.0","67229.0","68835.0","70542.0","71920.0","73525.0","74906.0","76081.0","77016.0","78176.0"
"BE25","75386.0","77024.0","78833.0","79991.0","81562.0","82841.0","83899.0","85186.0","86445.0","87847.0"
"BE31","23750.0","24071.0","24461.0","24762.0","25159.0","25698.0","26166.0","26614.0","26991.0","27284.0"
"BE32","82712.0","83375.0","84323.0","85059.0","85961.0","86842.0","87418.0","87784.0","88009.0","88218.0"
"BE33","67402.0","67629.0","68256.0","69374.0","70306.0","71231.0","71882.0","72625.0","72786.0","73366.0"
"BE34","15726.0","16016.0","16347.0","16578.0","16953.0","17448.0","17873.0","18422.0","18674.0","18989.0"
"BE35","30289.0","30402.0","30856.0","31152.0","31505.0","32020.0","32637.0","33286.0","33631.0","34049.0"
"BG31","64229.0","60986.0","59500.0","58198.0","56071.0","55016.0","53883.0","52458.0","51445.0","50807.0"
"BG32","65030.0","63139.0","62364.0","60885.0","59048.0","57627.0","55623.0","53883.0","53275.0","53058.0"
"BG33","68023.0","65839.0","64932.0","63406.0","61845.0","60909.0","59776.0","58931.0","58499.0","58676.0"
"BG34","78043.0","75801.0","75366.0","74096.0","72352.0","70906.0","70094.0","68713.0","68336.0","68083.0"
"BG41","146398.0","142568.0","140994.0","138865.0","136553.0","134530.0","131680.0","129186.0","126941.0","125424.0"
"BG42","104870.0","102536.0","103176.0","103667.0","103432.0","104561.0","103917.0","102279.0","100584.0","99540.0"
"CZ01","82058.0","81004.0","78873.0","76262.0","73005.0","69158.0","64083.0","62096.0","63691.0","66681.0"
"CZ02","88075.0","87377.0","86598.0","84679.0","82376.0","78773.0","74932.0","72160.0","72365.0","74508.0"
"CZ03","85987.0","86227.0","85965.0","84739.0","82435.0","79219.0","75331.0","72300.0","71330.0","72674.0"
"CZ04","81027.0","79007.0","76802.0","75068.0","72523.0","69124.0","65662.0","62705.0","62131.0","63675.0"
