"region_id","2021","2022","2023","2024"
"AT22","17.4","18.5","19.0","15.8"
"AT31","11.6","13.1","18.7","16.6"
"AT32","23.0","22.2","22.0","21.4"
"AT33","17.3","23.5","19.5","20.1"
"AT34","25.1","17.1","15.4","16.2"
"PL21","22.0","22.6","25.4","18.8"
"PL22","26.7","30.1","26.1","21.7"
"PL41","27.3","29.6","24.3","21.9"
"PL42","31.8","30.6","32.1","26.5"
"PL43","29.1","29.3","31.9","32.5"
"PL51","22.1","26.1","27.3","21.8"
"PL52","29.3","31.0","29.0","25.1"
"PL61","31.2","37.7","37.5","30.8"
"PL62","35.5","34.2","30.0","29.5"
"PL63","22.3","26.4","28.2","23.2"
"PL71","30.1","31.6","33.2","28.9"
"PL72","19.2","24.8","24.4","24.8"
"PL81","25.5","32.8","24.7","21.2"
"PL82","22.2","28.7","24.3","23.7"
"PL84","19.8","20.5","21.7","26.0"
"PL91","15.4","16.2","13.9","15.7"
"PL92","18.2","19.7","21.2","19.4"
"PT11","32.0","27.4","29.6","27.6"
"PT15","35.0","33.0","29.4","30.1"
"PT20","43.2","43.0","46.0","43.0"
"PT30","48.7","46.7","49.3","44.0"
"RO11","37.5","36.2","38.6","36.8"
"RO12","38.2","39.9","38.1","31.5"
"RO21","52.8","53.5","51.1","41.8"
"RO22","61.6","61.0","56.5","53.4"
"RO31","55.2","52.3","53.3","45.6"
"RO32","37.3","36.3","33.0","27.1"
"RO41","44.6","51.8","50.5","42.6"
"RO42","47.6","52.2","48.1","40.8"
"SI03","29.0","29.7","28.5","28.9"
"SI04","20.1","19.5","16.5","17.3"
"SK01","35.9","36.4","36.7","25.3"
"SK02","23.5","22.8","27.5","28.3"
"SK03","25.1","26.0","28.5","26.3"
"SK04","28.6","28.3","28.5","31.0"
"FI1B","23.5","23.1","27.2","28.2"
"FI1C","24.7","23.9","26.4","26.3"
"FI1D","22.8","22.9","23.3","26.7"
"SE11","17.3","20.1","19.8","22.2"
"SE12","21.7","24.1","25.8","23.7"
"SE21","18.6","22.7","21.3","24.4"
"SE22","18.9","23.1","27.4","25.5"
"SE23","17.4","20.2","19.4","20.6"
"SE31","18.0","21.0","22.9","24.7"
"SE32","19.3","20.0","17.4","20.6"
"SE33","14.0","13.2","13.6","13.1"
"NO02","22.9","24.5","26.7","33.1"
"NO06","22.2","20.6","23.1","22.4"
"NO07","21.6","23.3","22.0","22.8"
"NO08","24.2","22.7","25.2","24.1"
"NO09","23.5","22.7","25.0","21.6"
"NO0A","23.3","19.8","22.8","22.3"
"CH01","29.2","27.9","26.9","31.7"
"CH02","19.2","20.1","20.5","19.3"
"CH03","18.4","21.9","18.4","23.7"
"CH04","15.4","12.8","12.9","13.8"
"CH05","12.0","11.8","13.6","17.1"
"CH06","10.7","9.3","13.7","12.9"
"CH07","29.5","23.6","29.9","25.7"
"RS11","27.2","30.3","24.5","34.0"
"RS12","35.0","35.2","40.1","39.9"
"RS21","41.4","38.3","37.8","27.6"
"RS22","38.1","35.9","35.6","35.0"
