"region_id","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"DE73","39550.43","40882.32","42863.59","43813.48","44371.86","47088.63","44963.97","47660.71","52672.19","56450.3"
"DE80","39406.52","40070.43","41088.88","44182.99","44332.47","48170.47","47126.17","49970.41","56014.71","60480.83"
"DE91","65656.08","63148.81","74103.35","74136.53","77963.59","82967.52","76803.7","76540.9","80691.42","86123.64"
"DE92","72946.28","74293.55","78183.78","80200.61","82645.7","86964.69","84695.02","90388.36","95045.89","101031.41"
"DE93","42617.31","43722.74","44621.38","46227.43","47916.06","51142.53","51210.57","54279.94","59302.2","62883.63"
"DE94","77838.15","80233.53","83702.98","87336.98","89065.02","94207.09","93827.84","99648.11","111194.7","118493.76"
"DEA1","192576.12","197320.04","201660.25","210123.17","217774.59","224440.04","220197.29","233764.66","249631.28","263030.96"
"DEA2","165778.28","174214.81","178093.87","185499.06","192806.17","198444.41","192881.5","204723.25","219529.12","231610.7"
"DEA3","76806.43","79304.26","82180.27","85736.98","87990.83","92646.63","92601.71","97557.44","104875.18","110395.91"
"DEA4","69971.72","71378.8","73861.86","75935.9","78489.92","82903.39","82651.16","86024.48","91433.96","95979.82"
"DEA5","112337.85","115052.53","117578.4","121675.23","126003.48","131094.01","127791.91","136378.18","146069.61","153656.34"
"DEB1","44215.3","45616.4","46651.52","48811.19","50103.06","52708.57","52120.2","54765.36","58966.84","61328.17"
"DEB2","14459.04","14997.98","15533.25","15784.08","16199.22","16976.14","16783.38","17293.17","18836.68","19602.1"
"DEB3","68853.36","72309.51","74116.5","75522.08","76758.04","79976.4","77471.66","93839.94","97850.23","96140.6"
"DEC0","33254.37","34038.66","34264.01","35346.99","35871.32","36516.89","35136.43","37303.02","39655.18","42032.9"
"DED2","43143.66","45499.73","46681.56","48432.02","50107.12","52639.26","51873.85","54415.42","59919.72","63692.11"
"DED4","36883.19","37870.38","39060.19","40353.82","41097.98","43013.34","41753.29","43934.07","47167.25","50161.34"
"DED5","29300.69","30217.79","31495.08","33058.36","33975.17","36266.8","35983.8","38256.99","41467.8","44257.55"
"DEE0","56317.91","57395.94","58990.85","60908.52","62039.3","65308.27","64493.87","68141.35","75807.75","79699.35"
"DEF0","82868.07","84799.05","87511.53","92619.9","95007.92","100988.25","100634.4","106080.35","116006.31","120811.3"
"DEG0","56196.53","57475.51","59008.12","61180.4","62239.96","64856.37","63946.13","67069.41","72635.16","77260.31"
"EE00","20365.58","21010.88","22188.96","24316.12","26438.47","28472.06","27859.29","31456.24","36442.81","38187.78"
"IE04","21111.94","22465.71","23151.17","24317.55","25487.21","26807.99","30158.07","34538.48","39477.88","41897.19"
"IE05","53668.61","107000.08","100801.37","115435.87","120164.03","130913.39","136733.67","165487.74","194927.83","176886.38"
"IE06","126037.73","143078.51","152253.32","168769.38","189214.51","205953.56","215315.41","249190.33","286529.62","291168.24"
"EL30","83873.1","83192.3","83067.19","84794.41","86222.42","89077.01","81340.79","89769.35","99981.74","109653.75"
"EL41","2528.84","2466.73","2423.95","2431.42","2473.39","2552.4","2274.8","2447.32","2721.79","2956.66"
"EL42","6156.18","6034.28","5823.62","5921.96","6138.26","6369.47","4981.34","5694.45","6620.34","7395.73"
"EL43","8826.94","8818.99","8605.3","8918.57","9079.74","9318.9","7942.23","8955.65","10483.1","11470.76"
"EL51","6680.89","6621.02","6707.56","6684.8","6804.07","6851.34","6267.59","6913.41","7664.5","8134.69"
"EL52","23475.0","23840.59","23993.73","24261.48","24969.61","25439.84","23228.56","25318.55","29051.96","31000.69"
"EL53","5084.89","4731.78","4333.43","4334.62","4256.25","4041.32","3519.36","3802.89","4279.83","4435.1"
"EL54","3750.37","3700.89","3704.21","3696.09","3779.8","3823.2","3464.61","3764.68","4148.13","4507.6"
"EL61","8840.38","8980.51","8848.75","8884.58","9165.85","9447.76","8712.32","9808.51","10471.09","11180.53"
"EL62","3142.17","3073.85","3047.92","3088.03","3169.88","3255.54","2581.09","2930.51","3388.34","3766.12"
"EL63","8110.66","8085.37","7929.84","7978.37","7938.43","8105.39","7395.25","8020.89","9141.05","9785.21"
"EL64","7716.52","7767.5","7894.73","8121.22","8340.2","8441.47","8124.84","8827.38","10074.36","10595.57"
"EL65","7885.9","8049.08","8067.95","8262.91","8277.76","8457.56","7706.74","8320.99","9827.94","10314.49"
"ES11","54411.4","57010.6","58564.0","60630.9","62649.4","64502.0","59007.2","64387.5","71365.9","77356.3"
"ES12","20636.3","21388.1","21675.4","22538.3","23185.7","23666.6","21376.4","23617.6","26481.2","28325.5"
"ES13","12158.5","12443.8","12833.9","13318.0","13843.9","14274.4","12991.2","14206.5","15540.5","16776.6"
"ES21","62636.9","65073.3","67115.0","69585.3","71915.1","74000.0","66672.6","72513.1","80481.0","87857.5"
"ES22","17642.0","18334.4","18911.3","19698.8","20236.0","21070.3","19160.7","20821.2","23211.1","25041.2"
"ES23","7738.4","8033.1","8074.1","8351.7","8649.9","8890.0","8186.9","8735.9","9713.3","10618.1"
"ES24","32602.5","33265.9","34542.1","35983.5","37213.9","38465.1","35955.6","38782.4","43453.6","46673.6"
"ES30","196018.1","206231.5","214469.1","224373.2","233735.8","243889.4","221061.9","239837.0","267578.5","293069.3"
"ES41","51383.7","53183.4","54630.5","55879.3","58326.9","59649.2","54794.6","59465.7","65121.5","70876.3"
"ES42","36136.8","37998.0","39136.2","40769.0","42290.9","43393.3","40254.4","44124.1","49675.7","53929.1"
"ES43","17564.7","18495.0","19069.5","20169.5","20713.3","21166.1","19497.3","21551.7","23140.4","24870.1"
"ES51","196999.5","206434.3","214502.5","223139.8","231101.3","240165.8","214857.4","234820.2","258685.7","281845.1"
"ES52","97256.1","101214.2","104205.4","108666.7","112749.6","116588.5","106067.2","116386.8","127590.2","139419.9"
"ES53","27108.6","28653.7","30233.3","31746.3","33186.0","34350.6","26669.1","30512.3","37165.0","42083.9"
"ES61","139135.2","146406.1","149901.9","156789.5","161894.3","166478.7","150452.9","166296.2","183635.4","199951.8"
"ES62","27239.1","29168.7","30009.1","31192.5","31715.3","33000.7","30440.3","33603.6","37492.7","40385.8"
"ES63","1446.6","1498.5","1537.4","1553.6","1611.6","1660.0","1535.7","1634.1","1764.0","1888.5"
"ES64","1350.6","1407.6","1452.8","1466.6","1510.9","1560.1","1452.0","1534.1","1654.4","1750.2"
"ES70","38312.9","39636.6","40979.7","43035.8","44609.3","45766.8","37587.4","41407.6","48551.2","54193.7"
"ESZZ","1171.1","1235.1","1123.7","1135.8","1137.0","1172.5","1193.1","1236.4","1327.7","1411.3"
"FR10","655283.8","671654.8","685297.8","703752.1","727166.0","758004.0","701232.4","744093.6","784652.0","860067.3"
"FRB0","69611.2","70839.1","70994.7","72588.3","73903.0","75639.8","73016.3","78509.5","81746.6","89893.2"
"FRC1","44729.5","44938.6","44340.3","46110.7","47193.5","47746.8","46393.8","50520.6","53092.1","55504.5"
"FRC2","28898.2","29533.2","30058.8","30570.9","30731.0","31757.8","30818.8","33585.0","34971.5","35904.7"
"FRD1","38232.8","38869.4","39105.8","39003.2","39831.9","40866.6","39629.2","43995.7","46144.4","50548.1"
"FRD2","53251.3","54351.6","53516.9","54210.7","54596.9","55561.7","53106.7","59117.8","63272.2","65393.6"
"FRE1","107120.1","109194.0","110326.4","113383.1","115937.5","118426.0","115085.8","125323.8","132067.5","139899.6"
"FRE2","47115.3","48499.4","47722.7","49485.4","49761.2","51042.0","49065.4","53434.3","57596.1","56783.8"
"FRF1","56502.4","57293.5","58403.0","59952.2","61837.5","63317.5","60552.1","65135.7","68833.1","71590.4"
"FRF2","37042.0","37279.5","36702.4","38030.0","39023.4","39449.1","37622.9","41510.4","46545.1","48908.0"
"FRF3","57249.0","57837.6","57586.6","58941.3","59687.6","60768.7","58563.3","61946.1","65373.9","68606.4"
"FRG0","106208.3","109116.8","110889.0","114062.5","117118.4","121575.8","119751.1","128511.7","134797.6","143616.6"
"FRH0","89152.8","91444.9","93293.3","96579.7","98258.8","101787.1","99719.9","105564.0","112204.1","119169.1"
"FRI1","95692.4","98041.9","100162.0","102462.8","105819.7","109208.2","105411.7","113995.5","120212.9","128727.0"
"FRI2","18045.8","18339.8","18128.7","18567.8","18746.6","19611.9","19136.4","20820.7","21067.5","22045.0"
"FRI3","47637.0","48141.1","48347.8","49635.5","51033.5","52665.6","51230.4","55420.6","58379.8","62890.4"
"FRJ1","67661.2","69030.7","70165.7","71917.7","73797.4","76484.3","74991.0","82426.4","86639.4","95383.8"
"FRJ2","88248.5","90737.8","92574.3","94621.6","98201.2","101436.2","94860.8","102902.1","108014.3","117935.7"
"FRK1","35087.7","35872.9","36068.2","37883.6","38740.8","39853.4","38582.3","40854.5","42104.0","43763.7"
"FRK2","209348.9","214431.6","219584.5","225845.1","234585.2","241807.8","233046.2","249752.0","261244.9","284847.3"
"FRL0","152309.3","155267.0","157017.2","161282.8","165454.1","169882.1","162563.8","191719.3","213859.5","196216.8"
"FRM0","8359.7","8630.8","8729.6","9037.3","9365.2","9611.4","9045.3","10125.1","10599.3","10709.9"
"FRY1","8432.6","8586.8","8705.3","8783.6","8996.4","9248.8","8859.8","10014.3","10860.1","11225.4"
"FRY2","8523.2","8685.9","8643.4","8766.5","8867.6","8854.3","8653.5","9101.7","9773.0","10138.0"
"FRY3","3972.4","3999.5","4127.9","4118.0","4338.9","4421.3","4276.3","5118.2","5261.6","5195.2"
"FRY4","17243.8","17749.5","18168.1","18708.1","18969.0","19546.6","19312.6","20703.4","21977.7","23164.5"
"FRY5","1858.6","2082.6","2206.4","2414.4","2442.9","2673.1","2789.2","2900.7","3144.5","3326.6"
"FRZZ","915.3","951.3","952.4","965.6","957.6","958.9","959.2","999.3","1000.2","1000.2"
"HR02","8264.69","8501.72","8814.94","9031.54","9415.49","9905.07","9359.17","10719.97","12160.31","14167.6"
"HR03","14248.36","14598.39","15359.31","16353.05","17185.63","17833.35","15268.4","18225.36","21888.22","25176.97"
"HR05","15013.44","15427.83","16064.61","17010.6","18106.25","19164.18","17643.04","19891.3","22316.39","25658.09"
"HR06","6758.13","6965.2","7338.37","7812.11","8328.14","8866.0","8450.25","9557.49","11246.55","13045.81"
"ITC1","124277.62","126868.33","130070.95","134450.31","137202.41","137773.32","126659.44","137532.17","146618.08","155971.77"
"ITC2","4643.64","4653.42","4610.66","4776.15","4823.93","4860.99","4458.79","4788.34","5416.03","5697.75"
"ITC3","46573.51","47179.51","48068.02","49129.73","49293.35","50105.22","45221.63","49519.36","53347.56","57304.27"
"ITC4","355346.81","362329.59","373037.53","383032.58","393500.34","397959.74","372986.08","423767.66","457232.64","490132.1"
"ITF1","31656.84","31863.76","31954.43","32809.52","32969.03","33169.52","30577.05","33654.56","36434.16","39428.03"
"ITF2","6009.55","6128.39","6179.32","6325.46","6442.67","6576.39","6136.66","6854.19","7278.97","7749.6"
"ITF3","101232.96","103763.76","105498.56","107717.1","109119.26","111173.73","102700.77","112115.57","122236.21","130265.49"
"ITF4","70821.53","72334.52","73638.33","74783.61","76373.0","77182.8","72545.2","79546.1","86094.94","91628.92"
"ITF5","11390.16","12367.81","12322.56","12448.48","13066.99","12886.86","11622.24","12965.0","13938.85","14704.39"
"ITF6","31844.42","32118.61","32666.6","33342.94","33276.04","33502.12","31075.03","34200.59","36457.22","38956.76"
"ITG1","84812.65","86154.39","86697.56","88443.52","88652.46","89523.88","84022.86","92259.28","102471.47","110159.48"
"ITG2","32510.85","33735.31","33487.13","34123.62","34695.65","35447.99","32611.07","35684.66","38826.61","41428.07"
"ITH1","22144.03","22620.1","23097.72","23954.3","24990.07","25743.17","23946.18","26608.28","29851.48","32026.7"
"ITH2","19384.64","19333.75","19657.05","20063.29","20885.7","21463.65","20150.28","21358.42","23777.15","25205.27"
"ITH3","147834.5","150835.81","155761.76","159951.7","163005.64","166071.92","152345.49","170043.36","184072.38","197137.46"
