"region_id","2020","2021","2022","2023","2024"
"LU00","2.0","3.3","3.4","2.7","2.7"
"HU12","13.3","16.3","17.5","9.2","10.0"
"HU21","22.4","22.0","18.2","24.4","21.6"
"HU22","23.3","21.9","23.6","23.8","22.5"
"HU23","28.2","25.4","26.9","28.1","25.4"
"HU31","22.0","19.7","21.5","22.0","22.0"
"HU32","50.1","46.8","47.8","53.4","49.5"
"HU33","55.5","53.7","52.1","52.4","54.6"
"MT00","3.1","2.4","2.6","3.4","2.9"
"NL11","7.8","8.0","7.1","7.6","7.4"
"NL12","10.4","16.5","9.8","10.7","11.0"
"NL13","7.9","6.3","8.9","8.2","8.1"
"NL21","14.8","18.2","15.5","15.7","16.5"
"NL22","23.0","25.2","25.6","24.6","22.4"
"NL23","5.1","6.3","8.3","7.4","5.3"
"NL32","18.4","22.8","20.5","21.7","22.3"
"NL34","4.8","8.3","7.8","8.2","8.3"
"NL41","27.7","37.6","29.7","28.6","28.8"
"NL42","12.9","15.8","15.5","14.6","13.3"
"AT11","6.3","6.0","6.2","6.1","4.7"
"AT12","47.8","42.6","38.8","39.1","35.0"
"AT13","3.8","5.3","3.5","4.0","3.7"
"AT21","13.1","11.8","13.4","12.4","11.4"
"AT22","35.0","34.6","34.1","28.5","26.5"
"AT31","35.0","36.1","36.2","31.1","24.5"
"AT32","12.5","14.0","13.4","9.2","11.4"
"AT33","11.7","11.6","11.4","11.3","12.3"
"AT34","4.4","4.7","4.5","4.0","3.3"
"PL21","160.2","92.1","66.5","61.2","60.0"
"PL22","161.7","138.0","131.3","124.7","134.3"
"PL41","180.9","174.4","194.1","185.8","154.9"
"PL42","44.4","39.4","38.1","38.3","36.2"
"PL43","31.4","19.2","18.9","17.0","18.0"
"PL51","81.2","76.1","90.2","89.2","78.8"
"PL52","38.6","42.8","42.0","37.9","37.4"
"PL61","120.7","111.8","110.5","101.7","79.8"
"PL62","68.7","66.9","61.5","49.3","47.4"
"PL63","62.7","62.2","56.0","56.3","43.9"
"PL71","146.0","112.9","115.6","107.8","96.1"
"PL72","104.5","90.2","84.5","69.2","63.7"
"PL81","178.1","182.9","186.7","182.1","136.2"
"PL82","88.0","56.1","49.3","50.4","42.2"
"PL84","93.5","100.2","101.7","114.6","101.9"
"PL91","38.0","24.4","24.7","20.5","17.4"
"PL92","185.1","191.6","173.1","166.1","152.2"
"PT11","88.4","41.4","44.4","48.0","49.7"
"PT15","8.2","5.1","7.6","8.1","7.9"
"PT19","59.3","22.6","21.9","28.7","26.7"
"PT1C","27.8","28.0","25.6","29.0","29.6"
"PT1D","26.1","22.3","22.1","24.0","23.0"
"PT20","10.1","8.8","9.3","9.4","7.9"
"RO11","187.3","104.5","104.5","120.9","115.6"
"RO12","99.0","83.0","81.2","75.7","78.9"
"RO21","692.3","321.0","314.9","322.8","289.8"
"RO22","206.3","127.0","119.3","123.1","120.0"
"RO31","257.3","118.0","110.5","118.6","124.2"
"RO32","12.8","9.0","7.6","7.4","8.2"
"RO41","281.8","147.0","148.0","154.3","158.1"
"RO42","67.3","45.5","41.2","37.3","39.7"
"SI03","30.4","29.2","31.1","29.4","26.7"
"SI04","11.7","10.8","12.5","12.4","11.4"
"SK02","30.3","22.9","28.1","24.9","24.0"
"SK03","22.4","23.1","24.0","22.7","20.3"
"SK04","19.1","21.4","16.7","17.3","19.5"
"FI19","30.3","32.9","30.7","28.9","28.1"
"FI1B","6.0","7.8","5.8","5.4","6.3"
"FI1C","19.4","21.3","21.7","22.4","21.6"
"FI1D","42.3","44.4","43.6","39.3","38.5"
"SE12","16.6","15.4","19.4","17.0","18.9"
"SE21","15.1","14.0","13.9","12.6","13.4"
"SE22","13.4","12.5","11.8","14.3","11.9"
"SE23","18.0","17.9","21.8","17.8","18.2"
"SE31","12.8","14.4","14.1","12.0","9.8"
"SE32","5.7","4.9","4.0","5.3","6.6"
"SE33","11.4","12.5","13.3","12.7","13.7"
"IS00","7.9","8.0","8.6","8.1","8.4"
"NO02","9.4","9.1","7.4","8.5","6.9"
"NO06","10.5","12.8","12.5","11.8","11.1"
"NO07","12.3","15.1","18.3","18.9","19.5"
"NO08","13.1","13.9","12.8","13.9","15.6"
"NO09","12.5","12.7","12.6","13.8","10.0"
"NO0A","61.5","63.8","68.3","71.4","65.9"
"CH01","13.4","12.1","10.5","11.0","13.5"
"CH02","36.9","32.3","26.5","27.4","28.6"
