"region_id","2020","2021","2022","2023","2024"
"FRJ1","44.3","41.6","39.5","42.9","45.1"
"FRJ2","46.1","47.3","46.8","49.3","50.9"
"FRK1","33.1","32.9","35.9","36.5","37.7"
"FRK2","46.3","47.8","48.9","49.2","49.2"
"FRL0","43.0","43.7","44.3","44.8","45.3"
"FRM0","41.9","31.4","34.9","35.8","34.0"
"FRY1","27.8","28.9","30.7","33.3","33.2"
"FRY2","32.8","35.9","34.7","34.3","32.2"
"FRY3","27.4","25.3","30.4","31.1","28.7"
"FRY4","28.8","31.3","30.5","29.1","29.9"
"HR02","21.0","20.9","20.7","20.1","21.3"
"HR03","30.8","28.0","28.3","32.0","33.4"
"HR05","46.2","47.2","47.0","51.5","54.0"
"HR06","19.2","20.7","22.2","24.9","26.0"
"ITC1","21.3","22.0","21.7","22.6","22.7"
"ITC2","20.2","20.5","20.5","21.6","22.7"
"ITC3","24.8","24.1","23.7","25.4","25.5"
"ITC4","23.9","23.6","23.9","25.6","26.2"
"ITF1","23.8","24.1","23.8","24.5","26.6"
"ITF2","22.1","23.7","24.1","25.2","26.1"
"ITF3","20.9","21.3","21.8","22.4","23.2"
"ITF4","19.4","20.1","20.3","21.4","22.3"
"ITF5","21.0","20.6","20.9","23.3","23.5"
"ITF6","20.6","21.0","21.5","24.2","25.4"
"ITG1","19.5","19.9","20.3","22.0","23.1"
"ITG2","22.1","20.7","20.8","22.0","22.1"
"ITH1","17.4","17.9","18.0","19.0","19.4"
"ITH2","23.6","23.4","22.5","24.9","24.9"
"ITH3","21.5","22.2","22.1","22.1","23.5"
"ITH4","22.9","23.1","22.7","23.7","25.4"
"ITH5","25.0","25.1","24.4","25.3","26.5"
"ITI1","22.4","22.6","22.5","23.7","24.2"
"ITI2","25.0","24.6","24.7","25.4","26.7"
"ITI3","23.7","23.7","23.6","24.5","25.9"
"ITI4","29.7","29.6","30.4","32.0","31.6"
"CY00","47.2","48.8","49.5","51.6","51.6"
"LV00","38.9","40.5","40.4","40.2","41.3"
"LT01","58.7","60.7","62.4","62.6","62.3"
"LT02","39.8","40.7","42.3","41.6","43.0"
"LU00","48.6","52.0","54.3","53.9","57.1"
"HU11","50.7","56.5","56.6","57.0","59.0"
"HU12","30.6","33.9","33.7","34.0","34.8"
"HU21","23.0","24.3","23.6","23.6","24.2"
"HU22","25.5","26.1","23.7","23.4","24.9"
"HU23","20.2","22.9","23.6","23.4","22.9"
"HU31","18.2","20.2","21.6","21.7","22.2"
"HU32","20.1","21.2","21.9","22.5","22.7"
"HU33","21.8","23.1","24.6","23.7","24.9"
"MT00","33.6","34.2","34.0","34.9","37.4"
"NL11","39.1","39.9","39.9","41.9","41.5"
"NL12","32.1","31.2","31.7","34.3","33.8"
"NL13","33.4","32.7","33.2","33.2","33.3"
"NL21","35.2","36.1","36.3","35.7","37.2"
"NL22","36.7","39.3","38.9","38.6","40.1"
"NL23","33.6","33.1","33.4","34.9","33.3"
"NL32","47.2","45.8","47.8","46.4","47.1"
"NL34","29.8","27.8","29.8","28.6","28.9"
"NL41","38.2","38.1","39.6","39.2","40.0"
"NL42","33.5","38.2","36.6","35.4","35.3"
"AT11","36.3","34.5","34.7","35.8","37.5"
"AT12","35.5","36.0","35.7","38.0","39.8"
"AT13","44.7","46.4","47.7","48.2","48.2"
"AT21","34.9","36.3","35.4","36.3","38.2"
"AT22","33.1","32.7","34.5","35.3","35.6"
"AT31","32.0","31.8","33.0","33.8","34.5"
"AT32","33.5","35.1","34.0","36.7","35.5"
"AT33","33.1","32.5","33.5","33.7","34.2"
"AT34","29.5","29.8","30.9","30.4","31.1"
"PL21","37.4","41.2","41.0","45.0","45.8"
"PL22","36.2","35.6","36.3","40.2","42.7"
"PL41","32.6","30.0","31.3","36.0","36.9"
"PL42","33.1","33.8","35.6","38.9","41.7"
"PL43","31.2","32.7","31.9","33.3","33.6"
"PL51","41.3","40.2","38.8","43.1","45.6"
"PL52","30.7","29.8","30.1","32.4","35.2"
"PL61","31.2","31.6","31.3","33.5","33.8"
"PL62","27.7","27.8","30.6","34.4","34.4"
"PL63","37.9","37.8","41.0","45.5","45.2"
"PL71","33.3","33.1","32.5","35.8","37.4"
"PL72","34.2","32.8","33.4","36.5","37.8"
"PL81","36.6","34.2","32.1","36.8","39.2"
"PL82","34.7","35.4","35.0","36.9","36.8"
"PL84","34.9","36.0","37.3","37.9","40.0"
"PL91","59.3","58.7","58.4","62.7","65.0"
"PL92","29.0","30.9","31.9","34.1","33.8"
"PT11","26.2","28.0","28.9","29.1","31.8"
"PT15","24.9","26.2","26.1","25.7","27.4"
"PT19","29.2","32.4","32.8","31.0","31.5"
"PT1A","41.8","43.7","43.2","43.0","44.4"
"PT1B","30.6","33.0","33.8","35.5","36.3"
"PT1C","22.2","23.6","23.6","23.2","25.1"
"PT1D","22.1","23.6","25.2","26.5","26.9"
"PT20","17.9","19.3","19.7","19.5","19.9"
"PT30","24.4","28.1","25.0","23.8","25.1"
"RO11","22.6","22.3","20.7","19.4","20.5"
"RO12","20.6","20.1","22.7","22.2","22.0"
"RO21","11.4","14.1","15.8","15.8","15.5"
"RO22","15.3","16.0","17.2","16.6","17.5"
"RO31","15.0","17.1","16.7","14.9","15.7"
"RO32","44.8","45.7","46.1","42.5","42.8"
"RO41","18.8","21.6","21.5","20.1","20.2"
