"region_id","2020","2021","2022","2023","2024"
"HU11","36.8","38.1","44.2","45.4","51.3"
"HU12","12.3","16.2","14.9","17.2","19.2"
"HU21","5.4","9.1","6.3","6.9","7.5"
"HU22","7.4","7.6","8.1","6.7","9.2"
"HU31","4.3","6.5","6.4","6.7","5.9"
"HU32","5.5","5.3","8.2","9.4","8.2"
"HU33","5.2","7.2","7.7","8.2","8.4"
"MT00","15.2","15.9","17.6","18.8","19.3"
"NL11","4.4","7.4","7.2","7.1","6.0"
"NL12","7.0","4.8","7.7","8.3","6.9"
"NL13","5.5","4.5","4.0","5.6","6.3"
"NL21","10.5","16.2","14.1","13.7","11.9"
"NL22","22.5","25.2","25.8","29.4","27.2"
"NL23","7.7","10.5","9.2","10.2","8.4"
"NL32","53.7","68.1","72.7","71.0","70.3"
"NL34","4.4","3.1","4.3","5.1","2.8"
"NL41","33.2","42.9","37.9","39.9","35.4"
"NL42","9.9","11.3","14.0","14.7","14.3"
"AT11","5.7","5.2","4.7","6.0","4.8"
"AT12","31.9","32.1","33.3","33.1","27.6"
"AT13","36.4","32.4","37.6","35.5","44.7"
"AT21","7.7","6.4","7.4","5.3","6.8"
"AT22","15.3","14.9","11.2","13.9","13.1"
"AT31","20.7","20.4","22.9","24.3","22.8"
"AT32","8.8","7.4","7.1","9.0","9.1"
"AT33","9.8","7.8","9.3","10.5","9.9"
"AT34","5.1","4.9","5.4","5.6","6.1"
"PL21","42.4","39.5","40.7","47.3","50.6"
"PL22","36.3","42.4","36.2","42.5","44.3"
"PL41","32.0","30.4","29.7","27.2","28.8"
"PL51","49.7","41.0","37.1","37.3","37.4"
"PL61","15.1","15.6","14.2","19.2","16.6"
"PL63","25.7","25.5","26.9","35.4","36.4"
"PL71","26.2","19.8","22.7","25.7","23.0"
"PL81","15.9","17.0","16.8","16.6","18.1"
"PL91","109.3","115.9","108.9","115.8","121.9"
"PL92","16.6","17.9","21.6","17.5","19.7"
"PT11","30.2","34.0","25.9","26.9","26.9"
"PT19","6.1","9.1","8.8","8.7","7.4"
"PT1A","38.0","50.4","40.5","46.8","47.8"
"PT1B","7.0","10.3","10.1","12.4","13.8"
"PT1D","5.2","6.0","8.2","5.7","6.5"
"RO11","20.9","14.2","11.5","11.8","10.6"
"RO12","8.1","9.7","8.8","9.4","9.5"
"RO21","8.8","10.0","11.6","9.8","9.7"
"RO22","8.2","8.6","11.8","11.5","10.1"
"RO31","10.6","11.4","15.2","15.4","13.0"
"RO32","32.8","36.8","43.6","36.8","33.9"
"SI03","10.2","9.8","8.3","7.7","9.0"
"SI04","17.0","13.9","14.6","12.6","10.3"
"SK01","18.2","20.8","25.5","27.6","25.0"
"SK02","13.5","15.0","14.2","21.4","18.8"
"SK03","10.2","10.3","12.2","13.3","9.1"
"SK04","12.5","10.9","11.1","10.8","11.9"
"FI19","8.9","7.5","9.2","9.3","7.5"
"FI1B","30.1","25.2","25.5","26.3","30.0"
"FI1C","7.2","7.0","6.9","7.2","6.6"
"FI1D","5.6","5.6","5.4","5.8","7.5"
"SE11","57.8","59.0","65.2","68.5","62.7"
"SE12","10.3","10.5","9.4","8.0","11.1"
"SE22","10.2","10.8","13.3","16.4","15.0"
"SE23","15.5","15.3","14.3","9.7","12.2"
"SE31","3.7","3.4","5.0","5.5","6.0"
"SE32","3.4","4.0","5.7","4.6","5.1"
"IS00","7.5","6.4","6.0","5.5","6.1"
"NO08","28.2","27.6","31.3","27.5","22.2"
"NO0A","10.0","12.2","14.3","15.4","15.1"
"CH01","43.5","43.7","45.2","48.6","46.4"
"CH02","32.2","33.0","32.7","36.0","37.3"
"CH03","30.9","29.4","28.2","31.0","27.8"
"CH04","74.9","74.9","71.3","78.1","75.5"
"CH05","26.3","26.5","24.3","27.2","28.6"
"CH06","23.7","23.4","22.1","20.6","24.7"
"CH07","10.4","10.4","8.9","9.3","10.6"
"RS11","21.2","18.4","22.8","26.0","29.9"
"RS12","12.6","15.3","11.4","10.0","10.8"
"RS21","6.3","7.0","10.1","9.3","7.5"
"RS22","4.6","5.6","7.0","5.9","4.1"
"TR10","122.6","104.2","104.3","125.6","144.8"
"TR21","6.1","4.7","5.6","6.5","6.5"
"TR22","4.7","5.7","7.1","5.8","6.9"
"TR31","16.0","21.2","25.5","21.5","23.7"
"TR32","14.9","11.0","13.9","14.0","12.5"
"TR33","6.0","5.6","7.6","7.1","6.2"
"TR41","16.4","14.2","16.7","15.6","17.9"
"TR42","9.6","13.0","10.0","9.2","14.8"
"TR51","35.9","31.8","32.5","36.6","31.4"
"TR52","5.4","5.8","5.0","7.5","7.4"
"TR61","11.5","12.0","14.4","17.6","15.3"
"TR62","16.0","16.4","17.7","12.7","9.3"
"TR63","8.9","8.1","8.1","6.4","5.9"
"TR71","3.8","4.3","3.0","2.8","2.6"
"TR72","3.4","5.9","8.8","8.3","6.7"
"TR81","2.4","2.1","1.6","1.3","2.6"
"TR82","1.6","1.8","1.9","2.1","1.9"
"TR83","4.6","6.3","7.1","7.1","5.2"
"TR90","6.8","6.6","5.2","4.7","6.6"
"TRA1","2.3","1.7","3.1","3.3","3.0"
"TRB1","3.4","3.0","2.8","3.0","2.5"
"TRC1","4.2","3.3","5.1","7.6","5.3"
"TRC2","2.6","4.7","4.6","4.6","5.6"
"TRC3","2.5","1.5","1.0","2.6","3.0"
