"cod_tara","an","valoare","indicator"
"EL",2023,8.7,"abandon_scolar_timpuriu"
"EL",2024,7.7,"abandon_scolar_timpuriu"
"ES",2010,43.7,"abandon_scolar_timpuriu"
"ES",2011,42.4,"abandon_scolar_timpuriu"
"ES",2012,41.9,"abandon_scolar_timpuriu"
"ES",2013,41,"abandon_scolar_timpuriu"
"ES",2014,39.3,"abandon_scolar_timpuriu"
"ES",2015,36.7,"abandon_scolar_timpuriu"
"ES",2016,34.6,"abandon_scolar_timpuriu"
"ES",2017,33.8,"abandon_scolar_timpuriu"
"ES",2018,32.6,"abandon_scolar_timpuriu"
"ES",2019,30.9,"abandon_scolar_timpuriu"
"ES",2020,29.5,"abandon_scolar_timpuriu"
"ES",2021,26,"abandon_scolar_timpuriu"
"ES",2022,26.1,"abandon_scolar_timpuriu"
"ES",2023,25.8,"abandon_scolar_timpuriu"
"ES",2024,24.7,"abandon_scolar_timpuriu"
"FI",2010,31.6,"abandon_scolar_timpuriu"
"FI",2011,30.8,"abandon_scolar_timpuriu"
"FI",2012,29.2,"abandon_scolar_timpuriu"
"FI",2013,29.9,"abandon_scolar_timpuriu"
"FI",2014,29.3,"abandon_scolar_timpuriu"
"FI",2015,29.4,"abandon_scolar_timpuriu"
"FI",2016,27,"abandon_scolar_timpuriu"
"FI",2017,27.7,"abandon_scolar_timpuriu"
"FI",2018,28.1,"abandon_scolar_timpuriu"
"FI",2019,27.2,"abandon_scolar_timpuriu"
"FI",2020,25.5,"abandon_scolar_timpuriu"
"FI",2021,29.2,"abandon_scolar_timpuriu"
"FI",2022,28.7,"abandon_scolar_timpuriu"
"FI",2023,31.2,"abandon_scolar_timpuriu"
"FI",2024,32.7,"abandon_scolar_timpuriu"
"FR",2010,22.5,"abandon_scolar_timpuriu"
"FR",2011,22,"abandon_scolar_timpuriu"
"FR",2012,21.2,"abandon_scolar_timpuriu"
"FR",2013,18.5,"abandon_scolar_timpuriu"
"FR",2014,16.9,"abandon_scolar_timpuriu"
"FR",2015,17.2,"abandon_scolar_timpuriu"
"FR",2016,16.6,"abandon_scolar_timpuriu"
"FR",2017,16.3,"abandon_scolar_timpuriu"
"FR",2018,15.6,"abandon_scolar_timpuriu"
"FR",2019,15.2,"abandon_scolar_timpuriu"
"FR",2020,13.3,"abandon_scolar_timpuriu"
"FR",2021,14.7,"abandon_scolar_timpuriu"
"FR",2022,14.6,"abandon_scolar_timpuriu"
"FR",2023,14.9,"abandon_scolar_timpuriu"
"FR",2024,15,"abandon_scolar_timpuriu"
"HR",2010,13.2,"abandon_scolar_timpuriu"
"HR",2011,13.7,"abandon_scolar_timpuriu"
"HR",2012,15,"abandon_scolar_timpuriu"
"HR",2013,13.9,"abandon_scolar_timpuriu"
"HR",2014,14.1,"abandon_scolar_timpuriu"
"HR",2015,14,"abandon_scolar_timpuriu"
"HR",2016,12.6,"abandon_scolar_timpuriu"
"HR",2017,12.9,"abandon_scolar_timpuriu"
"HR",2018,12.8,"abandon_scolar_timpuriu"
"HR",2019,12.6,"abandon_scolar_timpuriu"
"HR",2020,12.2,"abandon_scolar_timpuriu"
"HR",2021,13.3,"abandon_scolar_timpuriu"
"HR",2022,13,"abandon_scolar_timpuriu"
"HR",2023,14,"abandon_scolar_timpuriu"
"HR",2024,13.2,"abandon_scolar_timpuriu"
"HU",2010,31.9,"abandon_scolar_timpuriu"
"HU",2011,32,"abandon_scolar_timpuriu"
"HU",2012,30.2,"abandon_scolar_timpuriu"
"HU",2013,29.2,"abandon_scolar_timpuriu"
"HU",2014,27.6,"abandon_scolar_timpuriu"
"HU",2015,28.3,"abandon_scolar_timpuriu"
"HU",2016,27.7,"abandon_scolar_timpuriu"
"HU",2017,27.1,"abandon_scolar_timpuriu"
"HU",2018,26.3,"abandon_scolar_timpuriu"
"HU",2019,25.3,"abandon_scolar_timpuriu"
"HU",2020,26.2,"abandon_scolar_timpuriu"
"HU",2021,27.4,"abandon_scolar_timpuriu"
"HU",2022,27.2,"abandon_scolar_timpuriu"
"HU",2023,25.8,"abandon_scolar_timpuriu"
"HU",2024,26.6,"abandon_scolar_timpuriu"
"IT",2010,35.7,"abandon_scolar_timpuriu"
"IT",2011,35.4,"abandon_scolar_timpuriu"
"IT",2012,34,"abandon_scolar_timpuriu"
"IT",2013,33.6,"abandon_scolar_timpuriu"
"IT",2014,32.1,"abandon_scolar_timpuriu"
"IT",2015,32.4,"abandon_scolar_timpuriu"
"IT",2016,31.7,"abandon_scolar_timpuriu"
"IT",2017,30.8,"abandon_scolar_timpuriu"
"IT",2018,31.5,"abandon_scolar_timpuriu"
"IT",2019,30.6,"abandon_scolar_timpuriu"
"IT",2020,30.8,"abandon_scolar_timpuriu"
"IT",2021,29.2,"abandon_scolar_timpuriu"
"IT",2022,27.8,"abandon_scolar_timpuriu"
"IT",2023,27.2,"abandon_scolar_timpuriu"
"IT",2024,27.3,"abandon_scolar_timpuriu"
"LT",2010,29.5,"abandon_scolar_timpuriu"
"LT",2011,28.9,"abandon_scolar_timpuriu"
"LT",2012,27.4,"abandon_scolar_timpuriu"
"LT",2013,24.6,"abandon_scolar_timpuriu"
"LT",2014,23.9,"abandon_scolar_timpuriu"
"LT",2015,23.1,"abandon_scolar_timpuriu"
"LT",2016,23.8,"abandon_scolar_timpuriu"
"LT",2017,25.6,"abandon_scolar_timpuriu"
"LT",2018,25,"abandon_scolar_timpuriu"
"LT",2019,24,"abandon_scolar_timpuriu"
"LT",2020,25.1,"abandon_scolar_timpuriu"
"LT",2021,21.5,"abandon_scolar_timpuriu"
"LT",2022,22.9,"abandon_scolar_timpuriu"
"LT",2023,23.1,"abandon_scolar_timpuriu"
"LT",2024,24.3,"abandon_scolar_timpuriu"
"LU",2010,43.5,"abandon_scolar_timpuriu"
"LU",2011,41.2,"abandon_scolar_timpuriu"
"LU",2012,42.6,"abandon_scolar_timpuriu"
"LU",2013,38.8,"abandon_scolar_timpuriu"
"LU",2014,40.9,"abandon_scolar_timpuriu"
"LU",2015,46.5,"abandon_scolar_timpuriu"
"LU",2016,33.5,"abandon_scolar_timpuriu"
"LU",2017,34.5,"abandon_scolar_timpuriu"
"LU",2018,29.7,"abandon_scolar_timpuriu"
"LU",2019,31.1,"abandon_scolar_timpuriu"
"LU",2020,36.5,"abandon_scolar_timpuriu"
"LU",2021,32.3,"abandon_scolar_timpuriu"
"LU",2022,34.6,"abandon_scolar_timpuriu"
"LU",2023,29.3,"abandon_scolar_timpuriu"
"LU",2024,31.9,"abandon_scolar_timpuriu"
"LV",2010,33,"abandon_scolar_timpuriu"
"LV",2011,32.7,"abandon_scolar_timpuriu"
"LV",2012,28.7,"abandon_scolar_timpuriu"
"LV",2013,27.2,"abandon_scolar_timpuriu"
"LV",2014,27.7,"abandon_scolar_timpuriu"
"LV",2015,27.3,"abandon_scolar_timpuriu"
"LV",2016,26.8,"abandon_scolar_timpuriu"
"LV",2017,25.8,"abandon_scolar_timpuriu"
"LV",2018,27.9,"abandon_scolar_timpuriu"
"LV",2019,29.4,"abandon_scolar_timpuriu"
"LV",2020,28.1,"abandon_scolar_timpuriu"
"LV",2021,28.4,"abandon_scolar_timpuriu"
"LV",2022,28.5,"abandon_scolar_timpuriu"
"LV",2023,28.8,"abandon_scolar_timpuriu"
"LV",2024,30.6,"abandon_scolar_timpuriu"
"NL",2010,32.1,"abandon_scolar_timpuriu"
"NL",2011,31.2,"abandon_scolar_timpuriu"
"NL",2012,30.4,"abandon_scolar_timpuriu"
"NL",2013,31.6,"abandon_scolar_timpuriu"
"NL",2014,30.5,"abandon_scolar_timpuriu"
"NL",2015,29.5,"abandon_scolar_timpuriu"
"NL",2016,29.7,"abandon_scolar_timpuriu"
"NL",2017,27.9,"abandon_scolar_timpuriu"
"NL",2018,27.5,"abandon_scolar_timpuriu"
"NL",2019,27.6,"abandon_scolar_timpuriu"
"NL",2020,26,"abandon_scolar_timpuriu"
"NL",2021,21.2,"abandon_scolar_timpuriu"
"NL",2022,21.6,"abandon_scolar_timpuriu"
"NL",2023,22.7,"abandon_scolar_timpuriu"
"NL",2024,23.7,"abandon_scolar_timpuriu"
"NO",2010,43.2,"abandon_scolar_timpuriu"
"NO",2011,43.3,"abandon_scolar_timpuriu"
"NO",2012,42.1,"abandon_scolar_timpuriu"
"NO",2013,39.1,"abandon_scolar_timpuriu"
"NO",2014,35.1,"abandon_scolar_timpuriu"
"NO",2015,33.9,"abandon_scolar_timpuriu"
"NO",2016,36.5,"abandon_scolar_timpuriu"
"NO",2017,36.6,"abandon_scolar_timpuriu"
"NO",2018,34.8,"abandon_scolar_timpuriu"
"NO",2019,34.9,"abandon_scolar_timpuriu"
"NO",2020,34.6,"abandon_scolar_timpuriu"
"NO",2021,31.7,"abandon_scolar_timpuriu"
"NO",2022,17.7,"abandon_scolar_timpuriu"
"NO",2023,18.4,"abandon_scolar_timpuriu"
"NO",2024,17.3,"abandon_scolar_timpuriu"
"PL",2010,24.9,"abandon_scolar_timpuriu"
"PL",2011,25.7,"abandon_scolar_timpuriu"
"PL",2012,25.7,"abandon_scolar_timpuriu"
"PL",2013,25.9,"abandon_scolar_timpuriu"
"PL",2014,25.5,"abandon_scolar_timpuriu"
"PL",2015,25.6,"abandon_scolar_timpuriu"
"PL",2016,25.3,"abandon_scolar_timpuriu"
"PL",2017,26,"abandon_scolar_timpuriu"
"PL",2018,25.9,"abandon_scolar_timpuriu"
"PL",2019,26.5,"abandon_scolar_timpuriu"
"PL",2020,28.1,"abandon_scolar_timpuriu"
"PL",2021,27.5,"abandon_scolar_timpuriu"
"PL",2022,26.8,"abandon_scolar_timpuriu"
"PL",2023,23.8,"abandon_scolar_timpuriu"
"PL",2024,23.5,"abandon_scolar_timpuriu"
"PT",2010,47.3,"abandon_scolar_timpuriu"
"PT",2011,41.5,"abandon_scolar_timpuriu"
"PT",2012,38.6,"abandon_scolar_timpuriu"
"PT",2013,36.6,"abandon_scolar_timpuriu"
"PT",2014,35.2,"abandon_scolar_timpuriu"
"PT",2015,31,"abandon_scolar_timpuriu"
"PT",2016,30.9,"abandon_scolar_timpuriu"
"PT",2017,28.4,"abandon_scolar_timpuriu"
"PT",2018,26.3,"abandon_scolar_timpuriu"
"PT",2019,24.3,"abandon_scolar_timpuriu"
"PT",2020,22,"abandon_scolar_timpuriu"
"PT",2021,17.3,"abandon_scolar_timpuriu"
"PT",2022,17.5,"abandon_scolar_timpuriu"
"PT",2023,18.4,"abandon_scolar_timpuriu"
"PT",2024,16.3,"abandon_scolar_timpuriu"
"RO",2010,33,"abandon_scolar_timpuriu"
"RO",2011,32.1,"abandon_scolar_timpuriu"
"RO",2012,32.7,"abandon_scolar_timpuriu"
"RO",2013,32.8,"abandon_scolar_timpuriu"
"RO",2014,31.7,"abandon_scolar_timpuriu"
"RO",2015,31.4,"abandon_scolar_timpuriu"
"RO",2016,32.6,"abandon_scolar_timpuriu"
"RO",2017,32.5,"abandon_scolar_timpuriu"
"RO",2018,30.7,"abandon_scolar_timpuriu"
"RO",2019,26.2,"abandon_scolar_timpuriu"
"RO",2020,25.1,"abandon_scolar_timpuriu"
"RO",2021,17.2,"abandon_scolar_timpuriu"
"RO",2022,16.9,"abandon_scolar_timpuriu"
"RO",2023,18.2,"abandon_scolar_timpuriu"
"RO",2024,18.5,"abandon_scolar_timpuriu"
"SE",2010,27.8,"abandon_scolar_timpuriu"
"SE",2011,27.4,"abandon_scolar_timpuriu"
