mean,sd,min,max,cv,n,region_id,indicator
1661.6,253.9449634161789,1335,2020,0.1528315860713643,10,DEA5,labour_mk_slack_total_20_64_y
511.7,70.33578194789777,431,644,0.13745511422297788,10,DEB1,labour_mk_slack_total_20_64_y
888.2,122.92165526599995,709,1039,0.13839411761540188,10,DEB3,labour_mk_slack_total_20_64_y
383,69.27401308491439,306,519,0.1808720968274527,10,DEC0,labour_mk_slack_total_20_64_y
726.8,222.37645758687876,455,1127,0.30596650741177595,10,DED2,labour_mk_slack_total_20_64_y
561.4,214.9130056557769,315,957,0.38281618392550215,10,DED4,labour_mk_slack_total_20_64_y
559.2,139.75518277012523,392,852,0.24991985473913667,10,DED5,labour_mk_slack_total_20_64_y
1172.5,420.61865811629843,741,1915,0.3587365954083569,10,DEE0,labour_mk_slack_total_20_64_y
1111,175.5695493719417,887,1363,0.15802839727447496,10,DEF0,labour_mk_slack_total_20_64_y
988.3,280.46629823286156,667,1490,0.2837866014700613,10,DEG0,labour_mk_slack_total_20_64_y
686.2,73.93660948557367,561,798,0.10774790073677305,10,EE00,labour_mk_slack_total_20_64_y
516.9,68.19490042843705,405,648,0.1319305483235385,10,IE04,labour_mk_slack_total_20_64_y
1029.1,137.44449384711228,802,1258,0.13355795728997405,10,IE05,labour_mk_slack_total_20_64_y
1467.6,164.40681251091755,1284,1773,0.11202426581556116,10,IE06,labour_mk_slack_total_20_64_y
4016.9,1457.383077071136,2067,6030,0.3628128848293799,10,EL30,labour_mk_slack_total_20_64_y
173.8,51.18333061977633,81,244,0.29449557318628494,10,EL41,labour_mk_slack_total_20_64_y
348.7,54.99505028232591,247,432,0.1577145118506622,10,EL42,labour_mk_slack_total_20_64_y
628.9,167.09109292039878,398,894,0.26568785644840004,10,EL43,labour_mk_slack_total_20_64_y
555,100.6202983718715,411,701,0.18129783490427298,10,EL51,labour_mk_slack_total_20_64_y
2113.7,439.72341054096466,1401,2631,0.20803492006479854,10,EL52,labour_mk_slack_total_20_64_y
338.4,87.63205907530518,201,448,0.25895998544711935,10,EL53,labour_mk_slack_total_20_64_y
326.5,56.72594938238878,244,410,0.17373950806244648,10,EL54,labour_mk_slack_total_20_64_y
795.7,199.02319797785717,445,1099,0.25012341080540046,10,EL61,labour_mk_slack_total_20_64_y
210.6,42.43740488452767,151,269,0.2015071457005113,10,EL62,labour_mk_slack_total_20_64_y
803.8,250.1078878315427,426,1118,0.311156864682188,10,EL63,labour_mk_slack_total_20_64_y
536.6,155.25119430565852,264,739,0.2893238805547121,10,EL64,labour_mk_slack_total_20_64_y
469.1,129.60062585582764,267,705,0.27627504978859013,10,EL65,labour_mk_slack_total_20_64_y
2812.4,574.634028462174,2061,3931,0.20432158599849737,10,ES11,labour_mk_slack_total_20_64_y
1084.5,173.13915405438098,812,1399,0.1596488280814947,10,ES12,labour_mk_slack_total_20_64_y
580.9,116.9724089024606,426,805,0.20136410553014392,10,ES13,labour_mk_slack_total_20_64_y
2084.5,329.42281173119886,1710,2762,0.15803445033878574,10,ES21,labour_mk_slack_total_20_64_y
597.8,88.11961567475579,490,786,0.14740651668577417,10,ES22,labour_mk_slack_total_20_64_y
305.8,45.89795444485759,256,403,0.15009141414276517,10,ES23,labour_mk_slack_total_20_64_y
1229.8,199.28026049316128,986,1612,0.16204282037173628,10,ES24,labour_mk_slack_total_20_64_y
7153.7,918.8687549856556,5880,8881,0.128446643692866,10,ES30,labour_mk_slack_total_20_64_y
2525.4,509.6781555278019,1930,3532,0.20182076325643536,10,ES41,labour_mk_slack_total_20_64_y
2745.4,499.62345821628514,2252,3762,0.18198566992652623,10,ES42,labour_mk_slack_total_20_64_y
1740.1,303.61468636707576,1268,2195,0.17448117140800862,10,ES43,labour_mk_slack_total_20_64_y
6916.9,931.3449593643235,5825,8921,0.13464774094815937,10,ES51,labour_mk_slack_total_20_64_y
6658.5,1066.249944639832,5733,8850,0.16013365542386904,10,ES52,labour_mk_slack_total_20_64_y
1261.9,210.45582803893922,1060,1725,0.16677694590612505,10,ES53,labour_mk_slack_total_20_64_y
13688.2,2222.9007975066174,10689,17956,0.1623954060801725,10,ES61,labour_mk_slack_total_20_64_y
1880.6,313.04355394524043,1585,2605,0.16645940335278125,10,ES62,labour_mk_slack_total_20_64_y
151.2,8.390470785361213,141,170,0.055492531649214374,10,ES63,labour_mk_slack_total_20_64_y
141.7,12.454807193297784,129,163,0.08789560475157222,10,ES64,labour_mk_slack_total_20_64_y
3347.3,623.5678792240666,2346,4354,0.1862898094655593,10,ES70,labour_mk_slack_total_20_64_y
8479.9,382.18420515069255,7946,9192,0.045069423595878795,10,FR10,labour_mk_slack_total_20_64_y
1577.3,289.3729043600623,1109,2008,0.18346091698476022,10,FRB0,labour_mk_slack_total_20_64_y
1095.7,168.3587769549832,908,1393,0.15365408136805986,10,FRC1,labour_mk_slack_total_20_64_y
707.7,123.3243690435917,575,928,0.1742608012485399,10,FRC2,labour_mk_slack_total_20_64_y
910.6,144.39467518652557,716,1116,0.15857091498630088,10,FRD1,labour_mk_slack_total_20_64_y
1293.8,236.58111129636328,1009,1594,0.18285756013013085,10,FRD2,labour_mk_slack_total_20_64_y
3344.9,435.62329546932585,2903,3976,0.13023507293770392,10,FRE1,labour_mk_slack_total_20_64_y
1424.6,162.76308617810804,1117,1667,0.1142517802738369,10,FRE2,labour_mk_slack_total_20_64_y
1179.2,166.75717542449428,987,1447,0.1414155151157516,10,FRF1,labour_mk_slack_total_20_64_y
998.6,181.1237759716328,763,1336,0.1813777047582944,10,FRF2,labour_mk_slack_total_20_64_y
1738.5,219.07089162085308,1524,2099,0.12601144182965376,10,FRF3,labour_mk_slack_total_20_64_y
2359.5,338.39564286661715,1902,2857,0.14341836951329398,10,FRG0,labour_mk_slack_total_20_64_y
2036.3,311.5456271202948,1689,2542,0.15299593729818534,10,FRH0,labour_mk_slack_total_20_64_y
2511.9,234.52668647014707,2204,2828,0.09336625123219358,10,FRI1,labour_mk_slack_total_20_64_y
432.3,60.85145848704039,349,513,0.1407621061462882,10,FRI2,labour_mk_slack_total_20_64_y
1163.3,142.74534434906568,900,1360,0.12270725036453682,10,FRI3,labour_mk_slack_total_20_64_y
2323.4,250.4609971854123,2045,2641,0.10779934457493859,10,FRJ1,labour_mk_slack_total_20_64_y
1970.8,222.5862130102002,1764,2376,0.11294206058970986,10,FRJ2,labour_mk_slack_total_20_64_y
915.7,108.31030524480218,794,1070,0.11828142977481945,10,FRK1,labour_mk_slack_total_20_64_y
4287.3,265.98331192430516,3992,4870,0.062039818049659495,10,FRK2,labour_mk_slack_total_20_64_y
3513.8,507.7814052873102,2917,4306,0.144510616793019,10,FRL0,labour_mk_slack_total_20_64_y
173.6,30.409062976538937,138,235,0.17516741345932568,10,FRM0,labour_mk_slack_total_20_64_y
588.9,66.60071738018709,496,684,0.1130934239772238,10,FRY1,labour_mk_slack_total_20_64_y
461.9,85.44712465092732,337,565,0.18499052749713646,10,FRY2,labour_mk_slack_total_20_64_y
386.2,33.94374430992812,339,439,0.08789162172430896,10,FRY3,labour_mk_slack_total_20_64_y
1333.3,154.76724459652308,1145,1519,0.11607833540577746,10,FRY4,labour_mk_slack_total_20_64_y
954.5,352.70801584943376,558,1618,0.3695212319009259,10,HR03,labour_mk_slack_total_20_64_y
2990.3,540.0701703379746,2032,3636,0.1806073538902366,10,ITC1,labour_mk_slack_total_20_64_y
75.2,16.45059944871986,49,97,0.21875797139255132,10,ITC2,labour_mk_slack_total_20_64_y
1179.3,162.88240475194914,878,1338,0.13811787056045888,10,ITC3,labour_mk_slack_total_20_64_y
6013.1,1216.6583059073462,3968,7891,0.20233462039669156,10,ITC4,labour_mk_slack_total_20_64_y
1261.3,232.20730680435818,804,1498,0.18410156727531768,10,ITF1,labour_mk_slack_total_20_64_y
362.1,60.10259746651739,238,433,0.165983422995077,10,ITF2,labour_mk_slack_total_20_64_y
9641.1,1109.341491356221,7558,11130,0.11506378850506903,10,ITF3,labour_mk_slack_total_20_64_y
5493.8,967.388672894429,3905,6844,0.17608734808227983,10,ITF4,labour_mk_slack_total_20_64_y
713.8,117.04111338423871,532,845,0.1639690576971683,10,ITF5,labour_mk_slack_total_20_64_y
3301.9,504.5002918179973,2476,3975,0.15279090578697033,10,ITF6,labour_mk_slack_total_20_64_y
8608.2,1166.0154182323472,6429,9913,0.1354540343198749,10,ITG1,labour_mk_slack_total_20_64_y
2340.1,407.8500405241559,1636,2890,0.17428744093165074,10,ITG2,labour_mk_slack_total_20_64_y
168.7,39.7437626133544,124,255,0.23558839723387315,10,ITH1,labour_mk_slack_total_20_64_y
278.8,55.525369577038084,176,348,0.1991584274642686,10,ITH2,labour_mk_slack_total_20_64_y
2610.8,536.6709730676081,1640,3204,0.20555805617726675,10,ITH3,labour_mk_slack_total_20_64_y
742.4,143.9260612644948,500,915,0.1938659230394596,10,ITH4,labour_mk_slack_total_20_64_y
2669.3,419.6654884812691,1923,3331,0.15721930411765972,10,ITH5,labour_mk_slack_total_20_64_y
2655.2,506.1327889003043,1721,3313,0.19061945951352227,10,ITI1,labour_mk_slack_total_20_64_y
658.9,137.09319620041123,405,840,0.20806373683474158,10,ITI2,labour_mk_slack_total_20_64_y
1115.2,252.72769711467893,720,1443,0.22662096226208656,10,ITI3,labour_mk_slack_total_20_64_y
5351.9,1027.9457886700272,3499,6669,0.1920711875539579,10,ITI4,labour_mk_slack_total_20_64_y
724.8,218.80574845180726,436,1123,0.3018843107778798,10,CY00,labour_mk_slack_total_20_64_y
1256.8,263.76159268888597,910,1627,0.2098675944373695,10,LV00,labour_mk_slack_total_20_64_y
343.9,55.0624897528052,276,425,0.16011192135157082,10,LT01,labour_mk_slack_total_20_64_y
1123.8,134.3054561645042,915,1337,0.11951010514727194,10,LT02,labour_mk_slack_total_20_64_y
357.2,30.564321974776046,317,414,0.08556641090362835,10,LU00,labour_mk_slack_total_20_64_y
