STRUCTURE,STRUCTURE_ID,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CH,2021,3.15,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CH,2023,3.1,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2010,1.68,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2011,1.75,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2012,1.88,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2013,1.96,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2014,1.98,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2015,2.02,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2016,2.06,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2017,2.08,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2018,2.1,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2019,2.2,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2020,2.36,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2021,2.38,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2022,2.49,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CN_X_HK,2023,2.58,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2010,0.44,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2011,0.45,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2012,0.44,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2013,0.48,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2014,0.51,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2015,0.48,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2016,0.52,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2017,0.54,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2018,0.61,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2019,0.7,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2020,0.83,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2021,0.78,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2022,0.7,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2023,0.66,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CY,2024,0.65,p,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2010,1.31,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2011,1.53,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2012,1.76,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2013,1.87,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2014,1.94,,
dataflow,ESTAT:RD_E_GERDTOT(1.0),A,TOTAL,PC_GDP,CZ,2015,1.91,,
