STRUCTURE,STRUCTURE_ID,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2012,0.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2013,0.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2014,0.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2016,0.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2017,-0.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2018,0.0,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2022,-2.5,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2023,-4.3,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BA,2024,0.1,p,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2010,7.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2011,4.6,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2012,3.9,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2013,4.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2014,3.2,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2015,5.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2016,2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2017,3.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2018,4.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2019,5.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2020,3.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2021,4.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2022,10.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2023,6.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BE,2024,5.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2010,-2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2011,-0.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2012,-0.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2013,-6.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,BG,2014,-6.6,,
