cod_tara,an,fit,lower_95,upper_95,venit_progozat,venit_lower,venit_upper,d_cheltuieli_cd,d_rata_ocupare
IT,2024,NA,NA,NA,23959.46,23959.46,23959.46,NA,NA
IT,2025,0.0187,-0.0138,0.0512,24411.7173,23631.0904,25218.1314,0.0158,0.3667
IT,2026,0.0187,-0.0138,0.0512,24872.5114,23307.2212,26542.925,0.0158,0.3667
IT,2027,0.0187,-0.0138,0.0512,25342.0035,22987.7907,27937.3146,0.0158,0.3667
IT,2028,0.0187,-0.0138,0.0512,25820.3576,22672.738,29404.9561,0.0158,0.3667
IT,2029,0.0187,-0.0138,0.0512,26307.7411,22362.0033,30949.6978,0.0158,0.3667
LT,2024,NA,NA,NA,17425.03,17425.03,17425.03,NA,NA
LT,2025,0.0849,-0.0468,0.2167,18969.0306,16628.3269,21641.3899,0.0192,0.5833
LT,2026,0.0849,-0.0468,0.2167,20649.8422,15868.0504,26877.9884,0.0192,0.5833
LT,2027,0.0849,-0.0468,0.2167,22479.5876,15142.5351,33381.6944,0.0192,0.5833
LT,2028,0.0849,-0.0468,0.2167,24471.4634,14450.1917,41459.1116,0.0192,0.5833
LT,2029,0.0849,-0.0468,0.2167,26639.8357,13789.5034,51491.0331,0.0192,0.5833
LV,2024,NA,NA,NA,15450.48,15450.48,15450.48,NA,NA
LV,2025,0.0927,-0.0516,0.237,16951.2245,14673.4549,19582.5736,0.0196,0.5750
LV,2026,0.0927,-0.0516,0.237,18597.7401,13935.5074,24819.759,0.0196,0.5750
LV,2027,0.0927,-0.0516,0.237,20404.1859,13234.6722,31457.5831,0.0196,0.5750
LV,2028,0.0927,-0.0516,0.237,22386.0964,12569.083,39870.6343,0.0196,0.5750
LV,2029,0.0927,-0.0516,0.237,24560.515,11936.9672,50533.6813,0.0196,0.5750
NL,2024,NA,NA,NA,34223.41,34223.41,34223.41,NA,NA
NL,2025,0.02,-0.1235,0.1636,34914.7687,30247.3904,40306.3858,0.0208,0.3917
NL,2026,0.02,-0.1235,0.1636,35620.0939,26733.2982,47470.5687,0.0208,0.3917
NL,2027,0.02,-0.1235,0.1636,36339.6675,23627.4675,55908.1359,0.0208,0.3917
NL,2028,0.02,-0.1235,0.1636,37073.7775,20882.4671,65845.4226,0.0208,0.3917
NL,2029,0.02,-0.1235,0.1636,37822.7174,18456.3764,77548.9937,0.0208,0.3917
PL,2024,NA,NA,NA,15043.66,15043.66,15043.66,NA,NA
PL,2025,0.0536,-0.1187,0.226,15872.0014,13359.8861,18858.3661,0.0321,0.7250
PL,2026,0.0536,-0.1187,0.226,16745.9534,11864.5699,23640.3888,0.0321,0.7250
PL,2027,0.0536,-0.1187,0.226,17668.0273,10536.6182,29635.0161,0.0321,0.7250
PL,2028,0.0536,-0.1187,0.226,18640.8729,9357.2986,37149.7351,0.0321,0.7250
PL,2029,0.0536,-0.1187,0.226,19667.2859,8309.9753,46570.0039,0.0321,0.7250
PT,2024,NA,NA,NA,18834.92,18834.92,18834.92,NA,NA
PT,2025,0.0323,-0.0653,0.1298,19453.2197,17644.2966,21445.452,0.0421,0.1917
PT,2026,0.0323,-0.0653,0.1298,20091.8165,16528.9369,24417.8054,0.0421,0.1917
PT,2027,0.0323,-0.0653,0.1298,20751.3767,15484.083,27802.1288,0.0421,0.1917
PT,2028,0.0323,-0.0653,0.1298,21432.5886,14505.2782,31655.5217,0.0421,0.1917
PT,2029,0.0323,-0.0653,0.1298,22136.1627,13588.3471,36042.9972,0.0421,0.1917
SI,2024,NA,NA,NA,21319.53,21319.53,21319.53,NA,NA
SI,2025,0.0547,-0.0475,0.157,22518.1929,20330.5271,24943.7566,0.0329,0.4333
SI,2026,0.0547,-0.0475,0.157,23784.249,19387.4036,29184.0858,0.0329,0.4333
SI,2027,0.0547,-0.0475,0.157,25121.4875,18488.0311,34145.2524,0.0329,0.4333
SI,2028,0.0547,-0.0475,0.157,26533.9104,17630.3801,39949.7955,0.0329,0.4333
SI,2029,0.0547,-0.0475,0.157,28025.7451,16812.5151,46741.0855,0.0329,0.4333
SK,2024,NA,NA,NA,14980.51,14980.51,14980.51,NA,NA
SK,2025,0.053,-0.0122,0.1182,15795.8938,14798.8581,16860.1023,0.0142,0.6708
SK,2026,0.053,-0.0122,0.1182,16655.6587,14619.4089,18975.5256,0.0142,0.6708
SK,2027,0.053,-0.0122,0.1182,17562.2203,14442.1357,21356.3693,0.0142,0.6708
SK,2028,0.053,-0.0122,0.1182,18518.1258,14267.0121,24035.9355,0.0142,0.6708
SK,2029,0.053,-0.0122,0.1182,19526.0608,14094.012,27051.7047,0.0142,0.6708
