"country_code","year","value","indicator"
"ES",2022,15.2,"continuous_development_of_employees"
"ES",2023,15.8,"continuous_development_of_employees"
"ES",2024,16,"continuous_development_of_employees"
"FI",2010,23,"continuous_development_of_employees"
"FI",2011,23.8,"continuous_development_of_employees"
"FI",2012,24.5,"continuous_development_of_employees"
"FI",2013,24.9,"continuous_development_of_employees"
"FI",2014,25.1,"continuous_development_of_employees"
"FI",2015,25.4,"continuous_development_of_employees"
"FI",2016,26.4,"continuous_development_of_employees"
"FI",2017,27.4,"continuous_development_of_employees"
"FI",2018,28.5,"continuous_development_of_employees"
"FI",2019,29,"continuous_development_of_employees"
"FI",2020,27.3,"continuous_development_of_employees"
"FI",2021,30.5,"continuous_development_of_employees"
"FI",2022,25.2,"continuous_development_of_employees"
"FI",2023,26.1,"continuous_development_of_employees"
"FI",2024,29.1,"continuous_development_of_employees"
"FR",2010,5,"continuous_development_of_employees"
"FR",2011,5.5,"continuous_development_of_employees"
"FR",2012,5.7,"continuous_development_of_employees"
"FR",2013,17.8,"continuous_development_of_employees"
"FR",2014,18.4,"continuous_development_of_employees"
"FR",2015,18.6,"continuous_development_of_employees"
"FR",2016,18.8,"continuous_development_of_employees"
"FR",2017,18.7,"continuous_development_of_employees"
"FR",2018,18.6,"continuous_development_of_employees"
"FR",2019,19.5,"continuous_development_of_employees"
"FR",2020,13,"continuous_development_of_employees"
"FR",2021,11,"continuous_development_of_employees"
"FR",2022,13.3,"continuous_development_of_employees"
"FR",2023,14.9,"continuous_development_of_employees"
"FR",2024,15.1,"continuous_development_of_employees"
"HU",2010,3,"continuous_development_of_employees"
"HU",2011,3,"continuous_development_of_employees"
"HU",2012,2.9,"continuous_development_of_employees"
"HU",2013,3.2,"continuous_development_of_employees"
"HU",2014,3.3,"continuous_development_of_employees"
"HU",2015,7.1,"continuous_development_of_employees"
"HU",2016,6.3,"continuous_development_of_employees"
"HU",2017,6.2,"continuous_development_of_employees"
"HU",2018,6,"continuous_development_of_employees"
"HU",2019,5.8,"continuous_development_of_employees"
"HU",2020,5,"continuous_development_of_employees"
"HU",2021,5.9,"continuous_development_of_employees"
"HU",2022,8,"continuous_development_of_employees"
"HU",2023,9.5,"continuous_development_of_employees"
"HU",2024,11.8,"continuous_development_of_employees"
"IT",2010,6.2,"continuous_development_of_employees"
"IT",2011,5.7,"continuous_development_of_employees"
"IT",2012,6.6,"continuous_development_of_employees"
"IT",2013,6.2,"continuous_development_of_employees"
"IT",2014,8.1,"continuous_development_of_employees"
"IT",2015,7.3,"continuous_development_of_employees"
"IT",2016,8.3,"continuous_development_of_employees"
"IT",2017,7.9,"continuous_development_of_employees"
"IT",2018,8.1,"continuous_development_of_employees"
"IT",2019,8.1,"continuous_development_of_employees"
"IT",2020,7.1,"continuous_development_of_employees"
"IT",2021,9.9,"continuous_development_of_employees"
"IT",2022,9.6,"continuous_development_of_employees"
"IT",2023,11.6,"continuous_development_of_employees"
"IT",2024,10.4,"continuous_development_of_employees"
"LT",2010,4.4,"continuous_development_of_employees"
"LT",2011,6,"continuous_development_of_employees"
"LT",2012,5.4,"continuous_development_of_employees"
"LT",2013,5.9,"continuous_development_of_employees"
"LT",2014,5.1,"continuous_development_of_employees"
"LT",2015,5.8,"continuous_development_of_employees"
"LT",2016,6,"continuous_development_of_employees"
"LT",2017,5.9,"continuous_development_of_employees"
"LT",2018,6.6,"continuous_development_of_employees"
"LT",2019,7,"continuous_development_of_employees"
"LT",2020,7.2,"continuous_development_of_employees"
"LT",2021,8.5,"continuous_development_of_employees"
"LT",2022,8.5,"continuous_development_of_employees"
"LT",2023,10.7,"continuous_development_of_employees"
"LT",2024,9.8,"continuous_development_of_employees"
"LU",2010,13.5,"continuous_development_of_employees"
"LU",2011,13.9,"continuous_development_of_employees"
"LU",2012,14.2,"continuous_development_of_employees"
"LU",2013,14.6,"continuous_development_of_employees"
"LU",2014,14.5,"continuous_development_of_employees"
"LU",2015,18,"continuous_development_of_employees"
"LU",2016,16.8,"continuous_development_of_employees"
"LU",2017,17.2,"continuous_development_of_employees"
"LU",2018,18,"continuous_development_of_employees"
"LU",2019,19.1,"continuous_development_of_employees"
"LU",2020,16.3,"continuous_development_of_employees"
"LU",2021,17.9,"continuous_development_of_employees"
"LU",2022,18.1,"continuous_development_of_employees"
"LU",2023,16.2,"continuous_development_of_employees"
"LU",2024,17.4,"continuous_development_of_employees"
"LV",2010,5.4,"continuous_development_of_employees"
"LV",2011,5.4,"continuous_development_of_employees"
