STRUCTURE,STRUCTURE_ID,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2018,0.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2019,0.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2020,3.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2021,-1.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2022,-0.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2023,0.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2024,1.4,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BE,2025,0.4,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,1996,2.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,1997,-11.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,1998,8.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,1999,-5.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2000,9.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2001,3.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2002,5.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2003,2.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2004,2.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2005,4.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2006,3.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2007,3.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2008,1.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2009,1.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2010,5.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2011,4.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2012,3.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2013,-0.1,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2014,0.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2015,3.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2016,2.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2017,1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2018,2.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2019,5.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2020,1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2021,7.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2022,3.1,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2023,-1.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2024,4.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,BG,2025,1.9,p,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,1996,2.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,1997,2.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,1998,0.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,1999,-0.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2000,2.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2001,2.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2002,1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2003,-0.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2004,0.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2005,2.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2006,2.6,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2007,2.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2008,0.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2009,-1.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2010,5.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2011,-1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2012,0.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2013,1.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2014,1.2,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2015,-0.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2016,0.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,CH,2017,1.7,,
