STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2012,4.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2013,4.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2014,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2015,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2016,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2017,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2018,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2019,4.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2020,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2021,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2022,4.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2023,3.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2024,4.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CH,2025,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2009,5.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2010,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2011,7.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2012,11.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2013,15.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2014,16.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2015,14.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2016,12.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2017,11.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2018,8.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2019,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2020,7.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2021,7.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2022,6.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2023,5.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2024,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CY,2025,4.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2009,6.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2010,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2011,6.5,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2012,6.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2013,6.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2014,6.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2015,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2016,3.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2017,2.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2018,2.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2019,2.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2020,2.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2021,2.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2022,2.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2023,2.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2024,2.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,CZ,2025,2.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2009,7.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2010,6.5,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2011,5.4,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2012,5.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2013,4.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2014,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2015,4.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2016,3.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2017,3.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2018,3.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2019,2.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2020,3.5,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2021,3.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2022,3.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2023,3.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2024,3.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DE,2025,3.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2009,5.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2010,7.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2011,7.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2012,7.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2013,6.9,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2014,6.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2015,6.0,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2016,5.6,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2017,5.3,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2018,4.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2019,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2020,5.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2021,4.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2022,4.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2023,4.7,b,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2024,5.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,DK,2025,5.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2009,13.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2010,16.5,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2011,12.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2012,9.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2013,8.6,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2014,7.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2015,6.3,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2016,6.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2017,5.7,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2018,5.2,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2019,4.4,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2020,6.8,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2021,6.1,,
dataflow,ESTAT:UNE_RT_A(1.0),A,Y20-64,PC_ACT,T,EE,2022,5.5,,
